areacd,areanm,period,value,lci_95,uci_95
E12000001,North East,2004-01-01/P1Y,27.6,27,28.200000000000003
E12000001,North East,2005-01-01/P1Y,26.9,26.299999999999997,27.5
E12000001,North East,2006-01-01/P1Y,26,25.3,26.7
E12000001,North East,2007-01-01/P1Y,25.9,25.099999999999998,26.7
E12000001,North East,2008-01-01/P1Y,25.8,25,26.6
E12000001,North East,2009-01-01/P1Y,26.7,25.9,27.5
E12000001,North East,2010-01-01/P1Y,26.6,25.8,27.400000000000002
E12000001,North East,2011-01-01/P1Y,27.4,26.599999999999998,28.2
E12000001,North East,2012-01-01/P1Y,26,25.2,26.8
E12000001,North East,2013-01-01/P1Y,26.2,25.4,27
E12000001,North East,2014-01-01/P1Y,25.1,24.3,25.900000000000002
E12000001,North East,2015-01-01/P1Y,24.8,24,25.6
E12000001,North East,2016-01-01/P1Y,24.5,23.7,25.3
E12000001,North East,2017-01-01/P1Y,24.6,23.8,25.400000000000002
E12000001,North East,2018-01-01/P1Y,24.7,23.9,25.5
E12000001,North East,2019-01-01/P1Y,25,24.2,25.8
E12000001,North East,2020-01-01/P1Y,23.6,22.700000000000003,24.5
E12000001,North East,2021-01-01/P1Y,25.3,24.3,26.3
E12000001,North East,2022-01-01/P1Y,26,24.9,27.1
E12000001,North East,2023-01-01/P1Y,24.2,23,25.4
E12000002,North West,2004-01-01/P1Y,25.9,25.5,26.299999999999997
E12000002,North West,2005-01-01/P1Y,25.5,25,26
E12000002,North West,2006-01-01/P1Y,25.4,24.9,25.9
E12000002,North West,2007-01-01/P1Y,25.3,24.8,25.8
E12000002,North West,2008-01-01/P1Y,25.9,25.4,26.4
E12000002,North West,2009-01-01/P1Y,25.4,24.9,25.9
E12000002,North West,2010-01-01/P1Y,25.1,24.6,25.6
E12000002,North West,2011-01-01/P1Y,25.3,24.7,25.900000000000002
E12000002,North West,2012-01-01/P1Y,24.7,24.099999999999998,25.3
E12000002,North West,2013-01-01/P1Y,25.1,24.5,25.700000000000003
E12000002,North West,2014-01-01/P1Y,25.3,24.7,25.900000000000002
E12000002,North West,2015-01-01/P1Y,24.7,24.099999999999998,25.3
E12000002,North West,2016-01-01/P1Y,24.5,23.9,25.1
E12000002,North West,2017-01-01/P1Y,23.5,22.9,24.1
E12000002,North West,2018-01-01/P1Y,23.1,22.5,23.700000000000003
E12000002,North West,2019-01-01/P1Y,22.3,21.7,22.900000000000002
E12000002,North West,2020-01-01/P1Y,22.6,21.900000000000002,23.3
E12000002,North West,2021-01-01/P1Y,23.5,22.8,24.2
E12000002,North West,2022-01-01/P1Y,23.3,22.5,24.1
E12000002,North West,2023-01-01/P1Y,23.3,22.3,24.3
E12000003,Yorkshire and The Humber,2004-01-01/P1Y,24.4,23.799999999999997,25
E12000003,Yorkshire and The Humber,2005-01-01/P1Y,24.1,23.5,24.700000000000003
E12000003,Yorkshire and The Humber,2006-01-01/P1Y,23.9,23.299999999999997,24.5
E12000003,Yorkshire and The Humber,2007-01-01/P1Y,24.5,23.9,25.1
E12000003,Yorkshire and The Humber,2008-01-01/P1Y,24.3,23.6,25
E12000003,Yorkshire and The Humber,2009-01-01/P1Y,24.7,24,25.4
E12000003,Yorkshire and The Humber,2010-01-01/P1Y,24.9,24.2,25.599999999999998
E12000003,Yorkshire and The Humber,2011-01-01/P1Y,25.2,24.5,25.9
E12000003,Yorkshire and The Humber,2012-01-01/P1Y,23.9,23.2,24.599999999999998
E12000003,Yorkshire and The Humber,2013-01-01/P1Y,23.3,22.6,24
E12000003,Yorkshire and The Humber,2014-01-01/P1Y,23.7,23,24.4
E12000003,Yorkshire and The Humber,2015-01-01/P1Y,22.8,22.1,23.5
E12000003,Yorkshire and The Humber,2016-01-01/P1Y,23.5,22.8,24.2
E12000003,Yorkshire and The Humber,2017-01-01/P1Y,22.6,21.900000000000002,23.3
E12000003,Yorkshire and The Humber,2018-01-01/P1Y,22.9,22.2,23.599999999999998
E12000003,Yorkshire and The Humber,2019-01-01/P1Y,22.8,22.1,23.5
E12000003,Yorkshire and The Humber,2020-01-01/P1Y,22.2,21.4,23
E12000003,Yorkshire and The Humber,2021-01-01/P1Y,22.7,21.9,23.5
E12000003,Yorkshire and The Humber,2022-01-01/P1Y,22.6,21.700000000000003,23.5
E12000003,Yorkshire and The Humber,2023-01-01/P1Y,23.2,22.099999999999998,24.3
E12000004,East Midlands,2004-01-01/P1Y,23.2,22.7,23.7
E12000004,East Midlands,2005-01-01/P1Y,22.5,22,23
E12000004,East Midlands,2006-01-01/P1Y,21.6,20.8,22.400000000000002
E12000004,East Midlands,2007-01-01/P1Y,22.3,21.5,23.1
E12000004,East Midlands,2008-01-01/P1Y,21.7,20.9,22.5
E12000004,East Midlands,2009-01-01/P1Y,22.1,21.3,22.900000000000002
E12000004,East Midlands,2010-01-01/P1Y,23.4,22.599999999999998,24.2
E12000004,East Midlands,2011-01-01/P1Y,22.8,22,23.6
E12000004,East Midlands,2012-01-01/P1Y,22.4,21.599999999999998,23.2
E12000004,East Midlands,2013-01-01/P1Y,22.6,21.8,23.400000000000002
E12000004,East Midlands,2014-01-01/P1Y,22,21.2,22.8
E12000004,East Midlands,2015-01-01/P1Y,22.5,21.6,23.4
E12000004,East Midlands,2016-01-01/P1Y,21.9,21,22.799999999999997
E12000004,East Midlands,2017-01-01/P1Y,22.4,21.5,23.299999999999997
E12000004,East Midlands,2018-01-01/P1Y,21.7,20.8,22.599999999999998
E12000004,East Midlands,2019-01-01/P1Y,20,19.1,20.9
E12000004,East Midlands,2020-01-01/P1Y,20.5,19.5,21.5
E12000004,East Midlands,2021-01-01/P1Y,22.3,21.3,23.3
E12000004,East Midlands,2022-01-01/P1Y,22.6,21.6,23.6
E12000004,East Midlands,2023-01-01/P1Y,21.6,20.400000000000002,22.8
E12000005,West Midlands,2004-01-01/P1Y,24.5,24,25
E12000005,West Midlands,2005-01-01/P1Y,24.5,24,25
E12000005,West Midlands,2006-01-01/P1Y,24.5,23.8,25.2
E12000005,West Midlands,2007-01-01/P1Y,24.8,24.1,25.5
E12000005,West Midlands,2008-01-01/P1Y,24.7,24,25.4
E12000005,West Midlands,2009-01-01/P1Y,24.6,23.900000000000002,25.3
E12000005,West Midlands,2010-01-01/P1Y,25.7,25,26.4
E12000005,West Midlands,2011-01-01/P1Y,25.8,25.1,26.5
E12000005,West Midlands,2012-01-01/P1Y,25.1,24.400000000000002,25.8
E12000005,West Midlands,2013-01-01/P1Y,24.3,23.6,25
E12000005,West Midlands,2014-01-01/P1Y,24.8,24.1,25.5
E12000005,West Midlands,2015-01-01/P1Y,24.9,24.2,25.599999999999998
E12000005,West Midlands,2016-01-01/P1Y,24.6,23.900000000000002,25.3
E12000005,West Midlands,2017-01-01/P1Y,23.6,22.900000000000002,24.3
E12000005,West Midlands,2018-01-01/P1Y,23,22.3,23.7
E12000005,West Midlands,2019-01-01/P1Y,22.3,21.6,23
E12000005,West Midlands,2020-01-01/P1Y,22.2,21.4,23
E12000005,West Midlands,2021-01-01/P1Y,22.4,21.5,23.299999999999997
E12000005,West Midlands,2022-01-01/P1Y,22.5,21.6,23.4
E12000005,West Midlands,2023-01-01/P1Y,21.2,20.099999999999998,22.3
E12000006,East of England,2004-01-01/P1Y,20.2,19.7,20.7
E12000006,East of England,2005-01-01/P1Y,20.5,20,21
E12000006,East of England,2006-01-01/P1Y,21.1,20.400000000000002,21.8
E12000006,East of England,2007-01-01/P1Y,21.3,20.6,22
E12000006,East of England,2008-01-01/P1Y,21.1,20.400000000000002,21.8
E12000006,East of England,2009-01-01/P1Y,20.7,20,21.4
E12000006,East of England,2010-01-01/P1Y,21.4,20.7,22.099999999999998
E12000006,East of England,2011-01-01/P1Y,20.9,20.2,21.599999999999998
E12000006,East of England,2012-01-01/P1Y,20.2,19.5,20.9
E12000006,East of England,2013-01-01/P1Y,19.7,19,20.4
E12000006,East of England,2014-01-01/P1Y,20,19.3,20.7
E12000006,East of England,2015-01-01/P1Y,19.4,18.7,20.099999999999998
E12000006,East of England,2016-01-01/P1Y,20.1,19.400000000000002,20.8
E12000006,East of England,2017-01-01/P1Y,19.2,18.5,19.9
E12000006,East of England,2018-01-01/P1Y,19.2,18.5,19.9
E12000006,East of England,2019-01-01/P1Y,19.4,18.7,20.099999999999998
E12000006,East of England,2020-01-01/P1Y,19.6,18.8,20.400000000000002
E12000006,East of England,2021-01-01/P1Y,18.9,18.099999999999998,19.7
E12000006,East of England,2022-01-01/P1Y,19.4,18.5,20.299999999999997
E12000006,East of England,2023-01-01/P1Y,19.4,18.4,20.4
E12000007,London,2004-01-01/P1Y,26.5,25.9,27.1
E12000007,London,2005-01-01/P1Y,26.6,26,27.200000000000003
E12000007,London,2006-01-01/P1Y,26.2,25.599999999999998,26.8
E12000007,London,2007-01-01/P1Y,26.3,25.7,26.900000000000002
E12000007,London,2008-01-01/P1Y,25.6,25,26.200000000000003
E12000007,London,2009-01-01/P1Y,25.1,24.5,25.700000000000003
E12000007,London,2010-01-01/P1Y,26,25.4,26.6
E12000007,London,2011-01-01/P1Y,25.6,25,26.200000000000003
E12000007,London,2012-01-01/P1Y,24.7,24.099999999999998,25.3
E12000007,London,2013-01-01/P1Y,23.7,23.099999999999998,24.3
E12000007,London,2014-01-01/P1Y,23.2,22.599999999999998,23.8
E12000007,London,2015-01-01/P1Y,22.3,21.7,22.900000000000002
E12000007,London,2016-01-01/P1Y,21.8,21.2,22.400000000000002
E12000007,London,2017-01-01/P1Y,21.9,21.2,22.599999999999998
E12000007,London,2018-01-01/P1Y,21.8,21.1,22.5
E12000007,London,2019-01-01/P1Y,21.9,21.2,22.599999999999998
E12000007,London,2020-01-01/P1Y,20,19.2,20.8
E12000007,London,2021-01-01/P1Y,20.6,19.8,21.400000000000002
E12000007,London,2022-01-01/P1Y,20.2,19.3,21.099999999999998
E12000007,London,2023-01-01/P1Y,21.4,20.299999999999997,22.5
E12000008,South East,2004-01-01/P1Y,19.8,19.400000000000002,20.2
E12000008,South East,2005-01-01/P1Y,19.6,19.200000000000003,20
E12000008,South East,2006-01-01/P1Y,19.6,19.1,20.1
E12000008,South East,2007-01-01/P1Y,19.9,19.4,20.4
E12000008,South East,2008-01-01/P1Y,19.8,19.3,20.3
E12000008,South East,2009-01-01/P1Y,20.1,19.6,20.6
E12000008,South East,2010-01-01/P1Y,20.6,20,21.200000000000003
E12000008,South East,2011-01-01/P1Y,20.9,20.4,21.4
E12000008,South East,2012-01-01/P1Y,20.4,19.9,20.9
E12000008,South East,2013-01-01/P1Y,20,19.5,20.5
E12000008,South East,2014-01-01/P1Y,20.3,19.8,20.8
E12000008,South East,2015-01-01/P1Y,19.7,19.2,20.2
E12000008,South East,2016-01-01/P1Y,19,18.5,19.5
E12000008,South East,2017-01-01/P1Y,18.6,18.1,19.1
E12000008,South East,2018-01-01/P1Y,19.2,18.599999999999998,19.8
E12000008,South East,2019-01-01/P1Y,18,17.4,18.6
E12000008,South East,2020-01-01/P1Y,18.4,17.799999999999997,19
E12000008,South East,2021-01-01/P1Y,19.2,18.599999999999998,19.8
E12000008,South East,2022-01-01/P1Y,19.3,18.6,20
E12000008,South East,2023-01-01/P1Y,18.3,17.5,19.1
E12000009,South West,2004-01-01/P1Y,21.5,21,22
E12000009,South West,2005-01-01/P1Y,21.6,21.1,22.1
E12000009,South West,2006-01-01/P1Y,21.2,20.599999999999998,21.8
E12000009,South West,2007-01-01/P1Y,20.8,20.2,21.400000000000002
E12000009,South West,2008-01-01/P1Y,20.5,19.9,21.1
E12000009,South West,2009-01-01/P1Y,20.7,20.099999999999998,21.3
E12000009,South West,2010-01-01/P1Y,21.5,20.8,22.2
E12000009,South West,2011-01-01/P1Y,21.6,20.900000000000002,22.3
E12000009,South West,2012-01-01/P1Y,21.6,20.900000000000002,22.3
E12000009,South West,2013-01-01/P1Y,20.6,19.900000000000002,21.3
E12000009,South West,2014-01-01/P1Y,19.8,19.2,20.400000000000002
E12000009,South West,2015-01-01/P1Y,19.4,18.799999999999997,20
E12000009,South West,2016-01-01/P1Y,19.7,19,20.4
E12000009,South West,2017-01-01/P1Y,18.6,18,19.200000000000003
E12000009,South West,2018-01-01/P1Y,18.7,18,19.4
E12000009,South West,2019-01-01/P1Y,18.2,17.5,18.9
E12000009,South West,2020-01-01/P1Y,18.7,17.9,19.5
E12000009,South West,2021-01-01/P1Y,19.9,19.099999999999998,20.7
E12000009,South West,2022-01-01/P1Y,19.5,18.7,20.3
E12000009,South West,2023-01-01/P1Y,19.1,18.200000000000003,20
K02000001,United Kingdom,2004-01-01/P1Y,23.9,23.799999999999997,24
K02000001,United Kingdom,2005-01-01/P1Y,23.7,23.5,23.9
K02000001,United Kingdom,2006-01-01/P1Y,23.4,23.2,23.599999999999998
K02000001,United Kingdom,2007-01-01/P1Y,23.6,23.400000000000002,23.8
K02000001,United Kingdom,2008-01-01/P1Y,23.5,23.3,23.7
K02000001,United Kingdom,2009-01-01/P1Y,23.5,23.3,23.7
K02000001,United Kingdom,2010-01-01/P1Y,24,23.8,24.2
K02000001,United Kingdom,2011-01-01/P1Y,24,23.8,24.2
K02000001,United Kingdom,2012-01-01/P1Y,23.4,23.2,23.599999999999998
K02000001,United Kingdom,2013-01-01/P1Y,22.9,22.7,23.099999999999998
K02000001,United Kingdom,2014-01-01/P1Y,22.8,22.6,23
K02000001,United Kingdom,2015-01-01/P1Y,22.4,22.2,22.599999999999998
K02000001,United Kingdom,2016-01-01/P1Y,22.3,22.1,22.5
