areacd,areanm,period,value
E12000001,North East,2019-08-01/P1Y,4941
E12000001,North East,2020-08-01/P1Y,4463
E12000001,North East,2021-08-01/P1Y,4476
E12000001,North East,2022-08-01/P1Y,5042
E12000001,North East,2023-08-01/P1Y,4958
E12000001,North East,2024-08-01/P1Y,4945
E12000002,North West,2019-08-01/P1Y,3722
E12000002,North West,2020-08-01/P1Y,3329
E12000002,North West,2021-08-01/P1Y,3587
E12000002,North West,2022-08-01/P1Y,3899
E12000002,North West,2023-08-01/P1Y,4072
E12000002,North West,2024-08-01/P1Y,4095
E12000003,Yorkshire and The Humber,2019-08-01/P1Y,3855
E12000003,Yorkshire and The Humber,2020-08-01/P1Y,3417
E12000003,Yorkshire and The Humber,2021-08-01/P1Y,3315
E12000003,Yorkshire and The Humber,2022-08-01/P1Y,3658
E12000003,Yorkshire and The Humber,2023-08-01/P1Y,3767
E12000003,Yorkshire and The Humber,2024-08-01/P1Y,3538
E12000004,East Midlands,2019-08-01/P1Y,3541
E12000004,East Midlands,2020-08-01/P1Y,3060
E12000004,East Midlands,2021-08-01/P1Y,3290
E12000004,East Midlands,2022-08-01/P1Y,3602
E12000004,East Midlands,2023-08-01/P1Y,3983
E12000004,East Midlands,2024-08-01/P1Y,3809
E12000005,West Midlands,2019-08-01/P1Y,3424
E12000005,West Midlands,2020-08-01/P1Y,3012
E12000005,West Midlands,2021-08-01/P1Y,3300
E12000005,West Midlands,2022-08-01/P1Y,3547
E12000005,West Midlands,2023-08-01/P1Y,3571
E12000005,West Midlands,2024-08-01/P1Y,3774
E12000006,East of England,2019-08-01/P1Y,2552
E12000006,East of England,2020-08-01/P1Y,2416
E12000006,East of England,2021-08-01/P1Y,2394
E12000006,East of England,2022-08-01/P1Y,2693
E12000006,East of England,2023-08-01/P1Y,2838
E12000006,East of England,2024-08-01/P1Y,2773
E12000007,London,2019-08-01/P1Y,3723
E12000007,London,2020-08-01/P1Y,3518
E12000007,London,2021-08-01/P1Y,3826
E12000007,London,2022-08-01/P1Y,4092
E12000007,London,2023-08-01/P1Y,4017
E12000007,London,2024-08-01/P1Y,3853
E12000008,South East,2019-08-01/P1Y,2822
E12000008,South East,2020-08-01/P1Y,2500
E12000008,South East,2021-08-01/P1Y,2690
E12000008,South East,2022-08-01/P1Y,2947
E12000008,South East,2023-08-01/P1Y,3079
E12000008,South East,2024-08-01/P1Y,2941
E12000009,South West,2019-08-01/P1Y,3094
E12000009,South West,2020-08-01/P1Y,2855
E12000009,South West,2021-08-01/P1Y,2820
E12000009,South West,2022-08-01/P1Y,3054
E12000009,South West,2023-08-01/P1Y,3031
E12000009,South West,2024-08-01/P1Y,2931
E92000001,England,2019-08-01/P1Y,3424
E92000001,England,2020-08-01/P1Y,3099
E92000001,England,2021-08-01/P1Y,3248
E92000001,England,2022-08-01/P1Y,3552
E92000001,England,2023-08-01/P1Y,3640
E92000001,England,2024-08-01/P1Y,3554
