areacd,areanm,period,value
E12000001,North East,2004-01-01/P1Y,22.75
E12000001,North East,2005-01-01/P1Y,22.65
E12000001,North East,2006-01-01/P1Y,23.57
E12000001,North East,2007-01-01/P1Y,24.18
E12000001,North East,2008-01-01/P1Y,24.75
E12000001,North East,2009-01-01/P1Y,25.3
E12000001,North East,2010-01-01/P1Y,25.95
E12000001,North East,2011-01-01/P1Y,26.58
E12000001,North East,2012-01-01/P1Y,27.12
E12000001,North East,2013-01-01/P1Y,27.54
E12000001,North East,2014-01-01/P1Y,28
E12000001,North East,2015-01-01/P1Y,28.55
E12000001,North East,2016-01-01/P1Y,29.1
E12000001,North East,2017-01-01/P1Y,29.66
E12000001,North East,2018-01-01/P1Y,30.4
E12000001,North East,2019-01-01/P1Y,31.33
E12000001,North East,2020-01-01/P1Y,32.47
E12000001,North East,2021-01-01/P1Y,33.73
E12000001,North East,2022-01-01/P1Y,35.01
E12000001,North East,2023-01-01/P1Y,35.82
E12000002,North West,2004-01-01/P1Y,23.76
E12000002,North West,2005-01-01/P1Y,23.62
E12000002,North West,2006-01-01/P1Y,25.03
E12000002,North West,2007-01-01/P1Y,25.9
E12000002,North West,2008-01-01/P1Y,26.57
E12000002,North West,2009-01-01/P1Y,27.04
E12000002,North West,2010-01-01/P1Y,27.43
E12000002,North West,2011-01-01/P1Y,27.82
E12000002,North West,2012-01-01/P1Y,28.19
E12000002,North West,2013-01-01/P1Y,28.61
E12000002,North West,2014-01-01/P1Y,29.06
E12000002,North West,2015-01-01/P1Y,29.74
E12000002,North West,2016-01-01/P1Y,30.47
E12000002,North West,2017-01-01/P1Y,31.18
E12000002,North West,2018-01-01/P1Y,32.05
E12000002,North West,2019-01-01/P1Y,33.13
E12000002,North West,2020-01-01/P1Y,34.75
E12000002,North West,2021-01-01/P1Y,36.55
E12000002,North West,2022-01-01/P1Y,38.29
E12000002,North West,2023-01-01/P1Y,39.31
E12000003,Yorkshire and The Humber,2004-01-01/P1Y,22.65
E12000003,Yorkshire and The Humber,2005-01-01/P1Y,22.53
E12000003,Yorkshire and The Humber,2006-01-01/P1Y,23.97
E12000003,Yorkshire and The Humber,2007-01-01/P1Y,24.9
E12000003,Yorkshire and The Humber,2008-01-01/P1Y,25.54
E12000003,Yorkshire and The Humber,2009-01-01/P1Y,25.78
E12000003,Yorkshire and The Humber,2010-01-01/P1Y,25.92
E12000003,Yorkshire and The Humber,2011-01-01/P1Y,26.09
E12000003,Yorkshire and The Humber,2012-01-01/P1Y,26.42
E12000003,Yorkshire and The Humber,2013-01-01/P1Y,26.85
E12000003,Yorkshire and The Humber,2014-01-01/P1Y,27.31
E12000003,Yorkshire and The Humber,2015-01-01/P1Y,27.9
E12000003,Yorkshire and The Humber,2016-01-01/P1Y,28.45
E12000003,Yorkshire and The Humber,2017-01-01/P1Y,29.13
E12000003,Yorkshire and The Humber,2018-01-01/P1Y,29.96
E12000003,Yorkshire and The Humber,2019-01-01/P1Y,31.14
E12000003,Yorkshire and The Humber,2020-01-01/P1Y,32.64
E12000003,Yorkshire and The Humber,2021-01-01/P1Y,34.37
E12000003,Yorkshire and The Humber,2022-01-01/P1Y,35.9
E12000003,Yorkshire and The Humber,2023-01-01/P1Y,36.82
E12000004,East Midlands,2004-01-01/P1Y,22.1
E12000004,East Midlands,2005-01-01/P1Y,22.04
E12000004,East Midlands,2006-01-01/P1Y,23.04
E12000004,East Midlands,2007-01-01/P1Y,23.81
E12000004,East Midlands,2008-01-01/P1Y,24.61
E12000004,East Midlands,2009-01-01/P1Y,25.08
E12000004,East Midlands,2010-01-01/P1Y,25.49
E12000004,East Midlands,2011-01-01/P1Y,25.88
E12000004,East Midlands,2012-01-01/P1Y,26.47
E12000004,East Midlands,2013-01-01/P1Y,27.07
E12000004,East Midlands,2014-01-01/P1Y,27.57
E12000004,East Midlands,2015-01-01/P1Y,27.92
E12000004,East Midlands,2016-01-01/P1Y,28.41
E12000004,East Midlands,2017-01-01/P1Y,29.11
E12000004,East Midlands,2018-01-01/P1Y,30.3
E12000004,East Midlands,2019-01-01/P1Y,31.55
E12000004,East Midlands,2020-01-01/P1Y,32.88
E12000004,East Midlands,2021-01-01/P1Y,34.04
E12000004,East Midlands,2022-01-01/P1Y,35.01
E12000004,East Midlands,2023-01-01/P1Y,35.61
E12000005,West Midlands,2004-01-01/P1Y,22.36
E12000005,West Midlands,2005-01-01/P1Y,22.28
E12000005,West Midlands,2006-01-01/P1Y,23.15
E12000005,West Midlands,2007-01-01/P1Y,23.81
E12000005,West Midlands,2008-01-01/P1Y,24.46
E12000005,West Midlands,2009-01-01/P1Y,25.02
E12000005,West Midlands,2010-01-01/P1Y,25.6
E12000005,West Midlands,2011-01-01/P1Y,26.14
E12000005,West Midlands,2012-01-01/P1Y,26.66
E12000005,West Midlands,2013-01-01/P1Y,27.16
E12000005,West Midlands,2014-01-01/P1Y,27.71
E12000005,West Midlands,2015-01-01/P1Y,28.38
E12000005,West Midlands,2016-01-01/P1Y,29.21
