v4_2,Data Marking,CV,calendar-years,Time,administrative-geography,Geography,averages-and-percentiles,AveragesAndPercentiles,sex,Sex,working-pattern,WorkingPattern,hours-and-earnings,HoursAndEarnings,sector,Sector
29669.0,,0.3,2023,2023,K02000001,United Kingdom,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
24937.0,,0.2,2019,2019,K02000001,United Kingdom,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
24003.0,,0.2,2018,2018,K02000001,United Kingdom,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
25990.0,,0.3,2021,2021,K02000001,United Kingdom,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23484.0,,0.2,2017,2017,K02000001,United Kingdom,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23084.0,,0.2,2016,2016,K02000001,United Kingdom,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
25780.0,,0.3,2020,2020,K02000001,United Kingdom,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
27774.0,,0.3,2022,2022,K02000001,United Kingdom,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
27571.0,,2.2,2023,2023,W92000004,Wales,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23585.0,,1.5,2021,2021,W92000004,Wales,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
21644.0,,2.1,2018,2018,W92000004,Wales,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
21272.0,,2.2,2017,2017,W92000004,Wales,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
22701.0,,1.7,2019,2019,W92000004,Wales,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
23323.0,,3.0,2020,2020,W92000004,Wales,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
20818.0,,2.0,2016,2016,W92000004,Wales,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
25898.0,,1.7,2022,2022,W92000004,Wales,median,Median,all,All,all,All,annual-pay-gross,Annual pay - Gross,all,All
